ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,STATEFP,COUNTYFP,COUNTYNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP
"73554","73554",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73627","73627",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73552","73552",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73015","73015",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73549","73549",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73547","73547",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73655","73655",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73041","73041",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73526","73526",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73062","73062",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73507","73507",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73664","73664",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73566","73566",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73559","73559",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73564","73564",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73651","73651",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73570","73570",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"73661","73661",B5,G6350,S,"40","075","01101825","40075","0500000US40075",Kiowa,Kiowa County,"06",H1,G4020,,
"57018","57018",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57006","57006",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57050","57050",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57076","57076",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57016","57016",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57058","57058",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57017","57017",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57022","57022",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57048","57048",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57057","57057",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57054","57054",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57051","57051",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57071","57071",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57212","57212",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57075","57075",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57042","57042",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"57321","57321",B5,G6350,S,"46","079","01265776","46079","0500000US46079",Lake,Lake County,"06",H1,G4020,,
"27291","27291",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27302","27302",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27311","27311",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27315","27315",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27314","27314",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"24586","24586",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27212","27212",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27244","27244",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27249","27249",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27217","27217",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
"27231","27231",B5,G6350,S,"37","033","01008542","37033","0500000US37033",Caswell,Caswell County,"06",H1,G4020,,
